How long will it take to drive from Chicago to Mississippi	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
will I make it to the beach by noon if I leave now	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME_ARRIVAL ] [SL:DATE_TIME_DEPARTURE ] ]
When should I leave my house to get to the Hamilton Mall right when it opens on Saturday	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
I need to know if there 's a lot of traffic on my way home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
What is the shortest way home	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
how long will it take me to drive to fort collins	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] ]
how long would it take to ride a bus to jeddah from madina travelling at 8AM ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] [SL:SOURCE ] [SL:DATE_TIME_DEPARTURE ] ]
Can you tell me what is happening at Liberty Science Center	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
traffic to Midway Airport	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
IS THERE TRAFFIC CONGESTION ON THE VERRAZZANO BRIDGE ON THE WAY TO BROOKLYN	[IN:GET_INFO_TRAFFIC [SL:PATH [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DESTINATION ] ]
Music events in Minneapolis this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
What 's the best route to take to the portland airport	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Is there any traffic if I drive to St George today	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:DESTINATION ] [SL:DATE_TIME ] ]
How is traffic heading to Dad 's house	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION ] ] ] ]
whats happening in san francisco tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Are there downed power lines on freemont ave that might make me late to the movie ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
What shows are playing at the House of Blues we his week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
If I take off now what time should I arrive at Fenway Park ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
How many hours is it drive time between Knoxville and Memphis ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
best way to reach work today	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_DEPARTURE ] ]
where is todays meeting in tacoma	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Look up directions to nearest public parking near S Beritania Street	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] ] ] ]
Route to the mall	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
star wars events near me today	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
find me the nearest gas station off of 5th ave north .	[IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] ]
Is the rain making it hard to get to the rugby tournament today ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] ]
What 's the traffic like heading in to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
What types of things can I do in Atlanta on the third weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
how long will it take to get to D.C from baltimore	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:SOURCE ] ]
