How long will it take to drive from Chicago to Mississippi	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:SOURCE 8 9 ] [SL:DESTINATION 10 11 ] ]
will I make it to the beach by noon if I leave now	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 5 7 ] ] ] [SL:DATE_TIME_ARRIVAL 7 9 ] [SL:DATE_TIME_DEPARTURE 12 13 ] ]
When should I leave my house to get to the Hamilton Mall right when it opens on Saturday	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 4 5 ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 9 12 ] ] ] [SL:DATE_TIME_ARRIVAL 12 18 ] ]
I need to know if there 's a lot of traffic on my way home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
What is the shortest way home	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
how long will it take me to drive to fort collins	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 7 8 ] [SL:DESTINATION 9 11 ] ]
how long would it take to ride a bus to jeddah from madina travelling at 8AM ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 8 9 ] [SL:DESTINATION 10 11 ] [SL:SOURCE 12 13 ] [SL:DATE_TIME_DEPARTURE 14 16 ] ]
Can you tell me what is happening at Liberty Science Center	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 8 11 ] ] ] ]
traffic to Midway Airport	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 2 4 ] ] ] ]
IS THERE TRAFFIC CONGESTION ON THE VERRAZZANO BRIDGE ON THE WAY TO BROOKLYN	[IN:GET_INFO_TRAFFIC [SL:PATH [IN:GET_LOCATION [SL:POINT_ON_MAP 5 8 ] ] ] [SL:DESTINATION 12 13 ] ]
Music events in Minneapolis this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 4 ] [SL:DATE_TIME 4 6 ] ]
What 's the best route to take to the portland airport	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 8 11 ] ] ] ]
Is there any traffic if I drive to St George today	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL 6 7 ] [SL:DESTINATION 8 10 ] [SL:DATE_TIME 10 11 ] ]
How is traffic heading to Dad 's house	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION 5 6 ] ] ] ]
whats happening in san francisco tonight	[IN:GET_EVENT [SL:LOCATION 3 5 ] [SL:DATE_TIME 5 6 ] ]
Are there downed power lines on freemont ave that might make me late to the movie ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION 6 8 ] ]
What shows are playing at the House of Blues we his week	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 5 9 ] ] ] [SL:DATE_TIME 10 12 ] ]
If I take off now what time should I arrive at Fenway Park ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE 4 5 ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 11 13 ] ] ] ]
How many hours is it drive time between Knoxville and Memphis ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 5 6 ] [SL:SOURCE 8 9 ] [SL:DESTINATION 10 11 ] ]
best way to reach work today	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_DEPARTURE 5 6 ] ]
where is todays meeting in tacoma	[IN:GET_EVENT [SL:DATE_TIME 2 3 ] [SL:CATEGORY_EVENT 3 4 ] [SL:LOCATION 5 6 ] ]
